area_code,area_name,period,value,indicator,measure,unit,group
E92000001,England,2009/10,76.938750771892146,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E23000005,Greater Manchester,2009/10,92.537539021842306,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E92000001,England,2009/10,12.705551715997032,Offence rate,"Rate per 1,000",Offences,Violence against the person
E23000005,Greater Manchester,2009/10,12.443096526077984,Offence rate,"Rate per 1,000",Offences,Violence against the person
E92000001,England,2009/10,0.96194498621879287,Offence rate,"Rate per 1,000",Offences,Sexual offences
E23000005,Greater Manchester,2009/10,1.0694627915116257,Offence rate,"Rate per 1,000",Offences,Sexual offences
E92000001,England,2009/10,1.4168057794976374,Offence rate,"Rate per 1,000",Offences,Robbery
E23000005,Greater Manchester,2009/10,2.2770931528045537,Offence rate,"Rate per 1,000",Offences,Robbery
E92000001,England,2009/10,38.639294425974228,Offence rate,"Rate per 1,000",Offences,Theft offences
E23000005,Greater Manchester,2009/10,48.412084395194363,Offence rate,"Rate per 1,000",Offences,Theft offences
E92000001,England,2009/10,14.361126120996213,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E23000005,Greater Manchester,2009/10,18.481248332542624,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E92000001,England,2009/10,8.8540277432082419,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E23000005,Greater Manchester,2009/10,9.8545538237111572,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E92000001,England,2010/11,73.178617498404734,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E23000005,Greater Manchester,2010/11,84.938327538143511,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E92000001,England,2010/11,12.012384536774686,Offence rate,"Rate per 1,000",Offences,Violence against the person
E23000005,Greater Manchester,2010/11,12.095083287465533,Offence rate,"Rate per 1,000",Offences,Violence against the person
E92000001,England,2010/11,0.97292185831810829,Offence rate,"Rate per 1,000",Offences,Sexual offences
E23000005,Greater Manchester,2010/11,1.0720375114637934,Offence rate,"Rate per 1,000",Offences,Sexual offences
E92000001,England,2010/11,1.42866226683417,Offence rate,"Rate per 1,000",Offences,Robbery
E23000005,Greater Manchester,2010/11,1.8470865391863804,Offence rate,"Rate per 1,000",Offences,Robbery
E92000001,England,2010/11,37.960716088726535,Offence rate,"Rate per 1,000",Offences,Theft offences
E23000005,Greater Manchester,2010/11,45.233164370624962,Offence rate,"Rate per 1,000",Offences,Theft offences
E92000001,England,2010/11,12.397392072067218,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E23000005,Greater Manchester,2010/11,15.005115853919547,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E92000001,England,2010/11,8.4065406756840098,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E23000005,Greater Manchester,2010/11,9.6858399754832973,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E92000001,England,2011/12,69.582587072501866,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E23000005,Greater Manchester,2011/12,76.781069943696863,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E92000001,England,2011/12,11.212110712472132,Offence rate,"Rate per 1,000",Offences,Violence against the person
